id,username,follower_count,following_count,like_count
6,khairulbhuiyan02,105100.0,56.0,3300000.0
16,riazmohi10,142200.0,108.0,4300000.0
39,souravking97,888700.0,56.0,28600000.0
45,kashmiri_shuvo,116300.0,1803.0,2900000.0
56,messilover8766,132000.0,270.0,1900000.0
67,ahad_editz07,105700.0,82.0,2800000.0
69,rajpotruariyan,1000000.0,9825.0,19200000.0
73,sinthiayasmin_nupur,547100.0,96.0,4900000.0
76,ashik.khan5536,153400.0,13.0,1900000.0
77,songsandlyricsd,188900.0,73.0,3800000.0
84,nihab_rahman,100900.0,214.0,2000000.0
87,hridoy.ahmed.0075,188500.0,97.0,6000000.0
93,hotgoru,221400.0,34.0,4000000.0
100,tring_biring_ghost,1600000.0,38.0,36500000.0
116,anamikaoyshe0008,7700000.0,9.0,279500000.0
117,samia_alfa_kuasha,1100000.0,11.0,34800000.0
119,jahan.ontora,7300000.0,51.0,168800000.0
120,anisaibnatkhan,1200000.0,50.0,33900000.0
123,alone_boy_arifin_2.0,260600.00000000003,1.0,7400000.0
125,taekook_tiny07,114300.0,69.0,2000000.0
148,mrluxsu10,100900.0,100.0,1800000.0
152,mourymoury,145400.0,1.0,1700000.0
153,mr.sajjat2.0,196700.0,115.0,11100000.0
157,anirban_kaisar,246200.0,155.0,4000000.0
167,shanto_soha,236200.0,1.0,3200000.0
169,djprionty,225200.0,14.0,1900000.0
170,mo_mo1266,167200.0,44.0,3100000.0
182,shamimuddin795,305300.0,61.0,5200000.0
201,offline_editor_100,250900.0,1032.0,9300000.0
204,fahim_edit4,107100.0,53.0,2400000.0
205,arman_mahmud04,136400.0,9521.0,8199999.999999999
210,suleman_s1,152000.0,106.0,3400000.0
217,misschocolate67,8300000.000000001,0.0,314500000.0
223,shuman.mahamud,325700.0,93.0,10200000.0
224,tuhin_fariya.love,608900.0,60.0,8400000.0
231,kimnadiyaislam,103800.0,44.0,1500000.0
242,shopping_with_sumi,126600.0,1.0,1400000.0
245,mix_couple_,166900.0,15.0,3800000.0
254,mehazabienchowdhury,2600000.0,29.0,17100000.0
256,ismail.siam,285200.0,4.0,6300000.0
260,nadia.brishty,208800.0,111.0,1800000.0
267,artistic_rifat,125300.0,36.0,2900000.0
270,sabila.nur,551800.0,204.0,3100000.0
273,10mmahedi,630500.0,1.0,10300000.0
278,mdrobiul7136,311800.0,233.0,5500000.0
280,jhaltech,184500.0,2.0,3100000.0
287,mdanamulkarim,416100.0,85.0,11600000.0
289,saiful_afran_editz,274300.0,18.0,6900000.0
